   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.000    0.000   15.862    0.143 expressions.py:156(constrain_equal)
    57022    0.050    0.000    7.331    0.000 expressions.py:164(copy)
    23624    0.006    0.000    0.006    0.000 expressions.py:167(normalised)
    28444    0.036    0.000    0.043    0.000 expressions.py:176(coefficient)
      319    0.000    0.000    0.002    0.000 expressions.py:179(variables)
      104    0.000    0.000    0.001    0.000 expressions.py:182(is_nonnull)
      111    0.000    0.000    0.001    0.000 expressions.py:185(is_null)
     5460    0.004    0.000    0.058    0.000 expressions.py:188(is_unique)
   291359    0.496    0.000    5.748    0.000 expressions.py:191(is_wellformed)
   532128    0.292    0.000    0.912    0.000 expressions.py:193(<genexpr>)
    39631    0.238    0.000    2.670    0.000 expressions.py:195(_mul_term)
        1    0.004    0.004    0.020    0.020 expressions.py:2(<module>)
251728/103356    1.102    0.000   11.373    0.000 expressions.py:204(_add_term)
      307    0.001    0.000    0.005    0.000 expressions.py:216(evaluate)
      307    0.000    0.000    0.000    0.000 expressions.py:217(<genexpr>)
   493946    0.188    0.000    0.260    0.000 expressions.py:22(is_var)
   182587    0.103    0.000    0.604    0.000 expressions.py:23(is_bare_term)
   182587    0.107    0.000    0.722    0.000 expressions.py:24(is_term)
    97899    0.033    0.000    0.043    0.000 expressions.py:25(is_expr)
        1    0.000    0.000    0.000    0.000 expressions.py:251(EquZero)
    23317    0.056    0.000    2.618    0.000 expressions.py:252(__init__)
    34868    0.015    0.000    0.025    0.000 expressions.py:26(is_equ)
    11440    0.003    0.000    0.003    0.000 expressions.py:270(_z)
    11440    0.048    0.000    5.964    0.001 expressions.py:276(__sub__)
    11440    0.041    0.000    4.121    0.000 expressions.py:278(__rmul__)
      104    0.001    0.000    0.048    0.000 expressions.py:279(__truediv__)
   835140    0.307    0.000    2.055    0.000 expressions.py:29(is_num)
      222    0.001    0.000    0.052    0.000 expressions.py:291(mod)
      111    0.000    0.000    0.001    0.000 expressions.py:295(is_tautology)
      104    0.000    0.000    0.001    0.000 expressions.py:298(is_contradiction)
     5460    0.037    0.000    5.433    0.001 expressions.py:301(solve_for_var)
    22984    0.016    0.000    0.054    0.000 expressions.py:320(coefficient)
      319    0.000    0.000    0.002    0.000 expressions.py:323(variables)
      111    0.000    0.000    0.043    0.000 expressions.py:332(Equ)
        1    0.000    0.000    0.000    0.000 expressions.py:335(System)
        1    0.000    0.000    0.000    0.000 expressions.py:336(__init__)
        1    0.000    0.000    0.000    0.000 expressions.py:34(Var)
      111    0.001    0.000   15.819    0.143 expressions.py:343(constrain)
      576    0.000    0.000    0.001    0.000 expressions.py:349(evaluate)
      104    0.000    0.000    0.000    0.000 expressions.py:36(__init__)
        1    0.000    0.000    0.000    0.000 expressions.py:364(_Undefined)
      791    0.000    0.000    0.000    0.000 expressions.py:385(default_sys)
      576    0.000    0.000    0.002    0.000 expressions.py:390(evaluate)
       12    0.000    0.000    0.000    0.000 expressions.py:44(set_name)
      244    0.000    0.000    0.000    0.000 expressions.py:48(is_anon)
       88    0.000    0.000    0.014    0.000 expressions.py:54(__add__)
        8    0.000    0.000    0.001    0.000 expressions.py:55(__mul__)
       58    0.000    0.000    0.014    0.000 expressions.py:56(__sub__)
     5460    0.010    0.000    0.615    0.000 expressions.py:59(__rmul__)
       16    0.000    0.000    0.002    0.000 expressions.py:60(__truediv__)
      107    0.000    0.000    0.010    0.000 expressions.py:61(__neg__)
  1049414    0.193    0.000    0.193    0.000 expressions.py:64(__hash__)
      104    0.000    0.000    0.000    0.000 expressions.py:77(name)
        1    0.000    0.000    0.000    0.000 expressions.py:92(Varset)
        1    0.000    0.000    0.000    0.000 expressions.py:93(__init__)
   322254    0.157    0.000    0.157    0.000 fractions.py:17(gcd)
   362971    0.074    0.000    0.074    0.000 fractions.py:266(numerator)
   600759    0.115    0.000    0.115    0.000 fractions.py:270(denominator)
        4    0.000    0.000    0.000    0.000 fractions.py:285(_operator_fallbacks)
   120691    0.111    0.000    1.272    0.000 fractions.py:365(forward)
   201980    0.169    0.000    2.569    0.000 fractions.py:377(reverse)
   214417    0.542    0.000    2.206    0.000 fractions.py:392(_add)
        1    0.004    0.004    0.014    0.014 fractions.py:4(<module>)
   102197    0.196    0.000    0.944    0.000 fractions.py:408(_mul)
      576    0.000    0.000    0.000    0.000 fractions.py:489(__trunc__)
        1    0.000    0.000    0.000    0.000 fractions.py:49(Fraction)
   331630    0.639    0.000    4.026    0.000 fractions.py:530(__hash__)
    11447    0.012    0.000    0.035    0.000 fractions.py:552(__eq__)
   331630    0.365    0.000    1.052    0.000 fractions.py:571(_richcmp)
   331630    0.199    0.000    1.251    0.000 fractions.py:605(__ge__)
   388167    0.105    0.000    0.105    0.000 fractions.py:609(__bool__)
   322254    0.948    0.000    2.268    0.000 fractions.py:73(__new__)
        5    0.000    0.000    0.007    0.001 functools.py:170(wrapper)
        3    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        4    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 helpers.py:12(nonzero_dict)
    86187    0.118    0.000    0.118    0.000 helpers.py:13(__init__)
     5994    0.011    0.000    0.035    0.000 helpers.py:16(keys)
     5994    0.017    0.000    0.024    0.000 helpers.py:17(<setcomp>)
   389188    0.546    0.000    5.505    0.000 helpers.py:19(items)
        1    0.000    0.000    0.000    0.000 helpers.py:2(<module>)
   389188    0.709    0.000    4.911    0.000 helpers.py:20(<setcomp>)
     5460    0.008    0.000    0.049    0.000 helpers.py:25(__len__)
      215    0.000    0.000    0.001    0.000 helpers.py:31(__bool__)
      104    0.000    0.000    0.000    0.000 helpers.py:34(first)
     5460    0.007    0.000    0.008    0.000 helpers.py:37(count)
      104    0.000    0.000    0.000    0.000 helpers.py:40(ignore)
     5564    0.006    0.000    0.049    0.000 helpers.py:55(inverse_mod_n)
        1    0.000    0.000    0.000    0.000 helpers.py:7(Struct)
       13    0.000    0.000    0.000    0.000 ntpath.py:100(isabs)
       13    0.000    0.000    0.000    0.000 ntpath.py:108(join)
       14    0.000    0.000    0.000    0.000 ntpath.py:188(splitdrive)
        1    0.000    0.000    0.000    0.000 ntpath.py:273(split)
        1    0.000    0.000    0.000    0.000 ntpath.py:299(splitext)
        1    0.000    0.000    0.000    0.000 ntpath.py:307(basename)
       14    0.000    0.000    0.000    0.000 ntpath.py:38(_get_empty)
       42    0.000    0.000    0.000    0.000 ntpath.py:44(_get_sep)
       15    0.000    0.000    0.000    0.000 ntpath.py:50(_get_altsep)
       27    0.000    0.000    0.000    0.000 ntpath.py:56(_get_bothseps)
        1    0.000    0.000    0.000    0.000 ntpath.py:62(_get_dot)
       27    0.000    0.000    0.000    0.000 ntpath.py:68(_get_colon)
       14    0.000    0.000    0.000    0.000 ntpath.py:84(normcase)
        1    0.000    0.000    0.000    0.000 numbers.py:12(Number)
        1    0.000    0.000    0.000    0.000 numbers.py:150(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       28    0.000    0.000    0.000    0.000 object.py:108(__getitem__)
        3    0.000    0.000    0.000    0.000 object.py:111(adj_objs)
        6    0.000    0.000    0.000    0.000 object.py:112(<genexpr>)
        3    0.000    0.000    0.000    0.000 object.py:114(__iter__)
     21/1    0.000    0.000    0.009    0.009 object.py:123(reduce_subobjs)
     21/1    0.000    0.000    0.009    0.009 object.py:133(draw)
        1    0.000    0.000    0.000    0.000 object.py:137(Array)
      6/2    0.000    0.000    8.838    4.419 object.py:138(__init__)
       18    0.000    0.000    0.000    0.000 object.py:140(<genexpr>)
        1    0.000    0.000    0.000    0.000 object.py:18(Obj)
2786/2611    0.001    0.000    0.001    0.000 object.py:19(_require_init)
        1    0.000    0.000    0.000    0.000 object.py:2(<module>)
  892/612    0.002    0.000   15.874    0.026 object.py:24(__setattr__)
      517    0.001    0.000    0.004    0.000 object.py:37(make_var)
     1894    0.001    0.000    0.002    0.000 object.py:43(__getattr__)
     1121    0.000    0.000    0.001    0.000 object.py:5(is_obj)
      119    0.000    0.000    0.001    0.000 object.py:50(set_name)
      278    0.000    0.000    0.000    0.000 object.py:55(is_anon)
    21/18    0.000    0.000    4.853    0.270 object.py:61(constrain_equal)
    313/4    0.000    0.000    0.009    0.002 object.py:75(reduce_subobj)
  899/551    0.001    0.000    0.003    0.000 object.py:8(set_name)
     42/1    0.000    0.000    0.009    0.009 object.py:84(reduce_subobjs)
        1    0.000    0.000    0.000    0.000 object.py:90(InitorArray)
      7/1    0.000    0.000   13.630   13.630 object.py:91(__init__)
      7/1    0.000    0.000   13.630   13.630 object.py:92(<listcomp>)
       14    0.000    0.000    0.000    0.000 object.py:98(set_name)
        5    0.000    0.000    0.000    0.000 os.py:449(__getitem__)
        4    0.000    0.000    0.000    0.000 os.py:453(__setitem__)
       13    0.000    0.000    0.000    0.000 os.py:501(check_str)
        9    0.000    0.000    0.000    0.000 os.py:507(encodekey)
        5    0.000    0.000    0.007    0.001 re.py:204(compile)
        5    0.000    0.000    0.007    0.001 re.py:254(_compile)
        5    0.000    0.000    0.006    0.001 re.py:257(_compile_typed)
      576    0.000    0.000    0.001    0.000 solve.py:16(var_value)
        1    0.000    0.000    0.000    0.000 solve.py:2(<module>)
      111    0.000    0.000    0.000    0.000 solve.py:25(reduced_vars)
      111    0.025    0.000   15.766    0.142 solve.py:40(add_constraint)
        1    0.000    0.000    0.000    0.000 solve.py:5(Canonical)
     5460    0.013    0.000    5.460    0.001 solve.py:57(_set_solved_constraint)
        1    0.000    0.000    0.000    0.000 solve.py:6(__init__)
     5460    0.011    0.000    5.445    0.001 solve.py:61(_solve_var_value)
      104    0.000    0.000    0.049    0.000 solve.py:64(normalised_constraint_for)
    11440    0.050    0.000   10.227    0.001 solve.py:67(reduce_constraint_by_equ_for_var)
       23    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
       23    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
       18    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        2    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
     84/5    0.000    0.000    0.001    0.000 sre_compile.py:32(_compile)
       34    0.000    0.000    0.000    0.000 sre_compile.py:355(_simple)
        5    0.000    0.000    0.000    0.000 sre_compile.py:362(_compile_info)
       10    0.000    0.000    0.000    0.000 sre_compile.py:468(isstring)
        5    0.000    0.000    0.002    0.000 sre_compile.py:471(_code)
        5    0.000    0.000    0.006    0.001 sre_compile.py:486(compile)
       16    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
      118    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
      327    0.000    0.000    0.000    0.000 sre_parse.py:131(__getitem__)
       34    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
       99    0.000    0.000    0.000    0.000 sre_parse.py:139(append)
   110/39    0.000    0.000    0.000    0.000 sre_parse.py:141(getwidth)
        5    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
     1468    0.002    0.000    0.002    0.000 sre_parse.py:183(__next)
      275    0.000    0.000    0.000    0.000 sre_parse.py:202(match)
     1347    0.001    0.000    0.003    0.000 sre_parse.py:208(get)
      107    0.000    0.000    0.000    0.000 sre_parse.py:217(isident)
       20    0.000    0.000    0.000    0.000 sre_parse.py:223(isname)
       27    0.000    0.000    0.000    0.000 sre_parse.py:264(_escape)
     39/5    0.000    0.000    0.005    0.001 sre_parse.py:308(_parse_sub)
     45/5    0.001    0.000    0.005    0.001 sre_parse.py:386(_parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:670(fix_flags)
        5    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        5    0.000    0.000    0.005    0.001 sre_parse.py:682(parse)
       24    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
       24    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
